Datetime,DOM_MW
2010-12-05 01:00:00,10701.0
2010-12-05 02:00:00,10467.0
2010-12-05 03:00:00,10370.0
2010-12-05 04:00:00,10447.0
2010-12-05 05:00:00,10614.0
2010-12-05 06:00:00,10907.0
2010-12-05 07:00:00,11366.0
2010-12-05 08:00:00,11889.0
2010-12-05 09:00:00,12303.0
2010-12-05 10:00:00,12289.0
2010-12-05 11:00:00,12081.0
2010-12-05 12:00:00,11848.0
2010-12-05 13:00:00,11698.0
2010-12-05 14:00:00,11591.0
2010-12-05 15:00:00,11461.0
2010-12-05 16:00:00,11569.0
2010-12-05 17:00:00,12137.0
2010-12-05 18:00:00,13370.0
2010-12-05 19:00:00,13719.0
2010-12-05 20:00:00,13777.0
2010-12-05 21:00:00,13684.0
2010-12-05 22:00:00,13237.0
2010-12-05 23:00:00,12419.0
2010-12-05 00:00:00,11144.0
