Datetime,DOM_MW
2009-03-07 01:00:00,7665.0
2009-03-07 02:00:00,7349.0
2009-03-07 03:00:00,7235.0
2009-03-07 04:00:00,7147.0
2009-03-07 05:00:00,7311.0
2009-03-07 06:00:00,7603.0
2009-03-07 07:00:00,8054.0
2009-03-07 08:00:00,8503.0
2009-03-07 09:00:00,8995.0
2009-03-07 10:00:00,9182.0
2009-03-07 11:00:00,9209.0
2009-03-07 12:00:00,9122.0
2009-03-07 13:00:00,9003.0
2009-03-07 14:00:00,8798.0
2009-03-07 15:00:00,8619.0
2009-03-07 16:00:00,8576.0
2009-03-07 17:00:00,8626.0
2009-03-07 18:00:00,8746.0
2009-03-07 19:00:00,9355.0
2009-03-07 20:00:00,9556.0
2009-03-07 21:00:00,9293.0
2009-03-07 22:00:00,8853.0
2009-03-07 23:00:00,8293.0
2009-03-07 00:00:00,8172.0
