Datetime,DOM_MW
2005-11-28 01:00:00,7897.0
2005-11-28 02:00:00,7601.0
2005-11-28 03:00:00,7503.0
2005-11-28 04:00:00,7579.0
2005-11-28 05:00:00,7911.0
2005-11-28 06:00:00,8698.0
2005-11-28 07:00:00,9921.0
2005-11-28 08:00:00,10265.0
2005-11-28 09:00:00,10091.0
2005-11-28 10:00:00,9938.0
2005-11-28 11:00:00,9903.0
2005-11-28 12:00:00,9844.0
2005-11-28 13:00:00,9765.0
2005-11-28 14:00:00,9704.0
2005-11-28 15:00:00,9576.0
2005-11-28 16:00:00,9583.0
2005-11-28 17:00:00,9925.0
2005-11-28 18:00:00,10678.0
2005-11-28 19:00:00,10887.0
2005-11-28 20:00:00,10746.0
2005-11-28 21:00:00,10395.0
2005-11-28 22:00:00,9701.0
2005-11-28 23:00:00,8848.0
2005-11-28 00:00:00,8468.0
