Datetime,DOM_MW
2011-12-23 01:00:00,7927.0
2011-12-23 02:00:00,7530.0
2011-12-23 03:00:00,7317.0
2011-12-23 04:00:00,7305.0
2011-12-23 05:00:00,7413.0
2011-12-23 06:00:00,7892.0
2011-12-23 07:00:00,8664.0
2011-12-23 08:00:00,9218.0
2011-12-23 09:00:00,9557.0
2011-12-23 10:00:00,9754.0
2011-12-23 11:00:00,9822.0
2011-12-23 12:00:00,9755.0
2011-12-23 13:00:00,9597.0
2011-12-23 14:00:00,9411.0
2011-12-23 15:00:00,9354.0
2011-12-23 16:00:00,9361.0
2011-12-23 17:00:00,9850.0
2011-12-23 18:00:00,10886.0
2011-12-23 19:00:00,10930.0
2011-12-23 20:00:00,10752.0
2011-12-23 21:00:00,10557.0
2011-12-23 22:00:00,10259.0
2011-12-23 23:00:00,9792.0
2011-12-23 00:00:00,8563.0
