Datetime,DOM_MW
2006-10-22 01:00:00,7804.0
2006-10-22 02:00:00,7554.0
2006-10-22 03:00:00,7429.0
2006-10-22 04:00:00,7403.0
2006-10-22 05:00:00,7479.0
2006-10-22 06:00:00,7708.0
2006-10-22 07:00:00,8112.0
2006-10-22 08:00:00,8550.0
2006-10-22 09:00:00,9118.0
2006-10-22 10:00:00,9475.0
2006-10-22 11:00:00,9507.0
2006-10-22 12:00:00,9446.0
2006-10-22 13:00:00,9356.0
2006-10-22 14:00:00,9162.0
2006-10-22 15:00:00,9068.0
2006-10-22 16:00:00,8978.0
2006-10-22 17:00:00,9082.0
2006-10-22 18:00:00,9307.0
2006-10-22 19:00:00,9839.0
2006-10-22 20:00:00,10105.0
2006-10-22 21:00:00,9891.0
2006-10-22 22:00:00,9361.0
2006-10-22 23:00:00,8668.0
2006-10-22 00:00:00,8223.0
