Datetime,DOM_MW
2008-02-23 01:00:00,10488.0
2008-02-23 02:00:00,10211.0
2008-02-23 03:00:00,10019.0
2008-02-23 04:00:00,10015.0
2008-02-23 05:00:00,10078.0
2008-02-23 06:00:00,10365.0
2008-02-23 07:00:00,10798.0
2008-02-23 08:00:00,11318.0
2008-02-23 09:00:00,11892.0
2008-02-23 10:00:00,12230.0
2008-02-23 11:00:00,12274.0
2008-02-23 12:00:00,12097.0
2008-02-23 13:00:00,11847.0
2008-02-23 14:00:00,11478.0
2008-02-23 15:00:00,11232.0
2008-02-23 16:00:00,11071.0
2008-02-23 17:00:00,11144.0
2008-02-23 18:00:00,11536.0
2008-02-23 19:00:00,12216.0
2008-02-23 20:00:00,12191.0
2008-02-23 21:00:00,12073.0
2008-02-23 22:00:00,11775.0
2008-02-23 23:00:00,11346.0
2008-02-23 00:00:00,11040.0
