Datetime,DOM_MW
2013-11-01 01:00:00,7590.0
2013-11-01 02:00:00,7304.0
2013-11-01 03:00:00,7100.0
2013-11-01 04:00:00,7117.0
2013-11-01 05:00:00,7463.0
2013-11-01 06:00:00,8454.0
2013-11-01 07:00:00,9023.0
2013-11-01 08:00:00,9776.0
2013-11-01 09:00:00,9957.0
2013-11-01 10:00:00,9957.0
2013-11-01 11:00:00,10123.0
2013-11-01 12:00:00,10156.0
2013-11-01 13:00:00,10043.0
2013-11-01 14:00:00,9997.0
2013-11-01 15:00:00,9930.0
2013-11-01 16:00:00,9955.0
2013-11-01 17:00:00,10024.0
2013-11-01 18:00:00,10047.0
2013-11-01 19:00:00,10336.0
2013-11-01 20:00:00,9857.0
2013-11-01 21:00:00,9526.0
2013-11-01 22:00:00,9519.0
2013-11-01 23:00:00,8897.0
2013-11-01 00:00:00,8100.0
