Datetime,DOM_MW
2008-02-06 01:00:00,7592.0
2008-02-06 02:00:00,7304.0
2008-02-06 03:00:00,7179.0
2008-02-06 04:00:00,7176.0
2008-02-06 05:00:00,7406.0
2008-02-06 06:00:00,8091.0
2008-02-06 07:00:00,9362.0
2008-02-06 08:00:00,9983.0
2008-02-06 09:00:00,9816.0
2008-02-06 10:00:00,9744.0
2008-02-06 11:00:00,9818.0
2008-02-06 12:00:00,9824.0
2008-02-06 13:00:00,9818.0
2008-02-06 14:00:00,9767.0
2008-02-06 15:00:00,9771.0
2008-02-06 16:00:00,9696.0
2008-02-06 17:00:00,9776.0
2008-02-06 18:00:00,10196.0
2008-02-06 19:00:00,10846.0
2008-02-06 20:00:00,10672.0
2008-02-06 21:00:00,10391.0
2008-02-06 22:00:00,9704.0
2008-02-06 23:00:00,8820.0
2008-02-06 00:00:00,8200.0
