Datetime,DOM_MW
2016-06-23 01:00:00,10177.0
2016-06-23 02:00:00,9570.0
2016-06-23 03:00:00,9228.0
2016-06-23 04:00:00,9033.0
2016-06-23 05:00:00,9193.0
2016-06-23 06:00:00,9773.0
2016-06-23 07:00:00,10505.0
2016-06-23 08:00:00,11079.0
2016-06-23 09:00:00,11539.0
2016-06-23 10:00:00,11891.0
2016-06-23 11:00:00,12169.0
2016-06-23 12:00:00,12509.0
2016-06-23 13:00:00,13211.0
2016-06-23 14:00:00,13498.0
2016-06-23 15:00:00,13458.0
2016-06-23 16:00:00,13529.0
2016-06-23 17:00:00,13568.0
2016-06-23 18:00:00,13210.0
2016-06-23 19:00:00,13014.0
2016-06-23 20:00:00,12728.0
2016-06-23 21:00:00,12588.0
2016-06-23 22:00:00,12215.0
2016-06-23 23:00:00,11307.0
2016-06-23 00:00:00,11114.0
