Datetime,AEP_MW
2006-03-19 01:00:00,14572.0
2006-03-19 02:00:00,14337.0
2006-03-19 03:00:00,14276.0
2006-03-19 04:00:00,14336.0
2006-03-19 05:00:00,14526.0
2006-03-19 06:00:00,14879.0
2006-03-19 07:00:00,15291.0
2006-03-19 08:00:00,15702.0
2006-03-19 09:00:00,15912.0
2006-03-19 10:00:00,15667.0
2006-03-19 11:00:00,15231.0
2006-03-19 12:00:00,14842.0
2006-03-19 13:00:00,14460.0
2006-03-19 14:00:00,14157.0
2006-03-19 15:00:00,13836.0
2006-03-19 16:00:00,13548.0
2006-03-19 17:00:00,13738.0
2006-03-19 18:00:00,14048.0
2006-03-19 19:00:00,14782.0
2006-03-19 20:00:00,16019.0
2006-03-19 21:00:00,16213.0
2006-03-19 22:00:00,16114.0
2006-03-19 23:00:00,15535.0
2006-03-19 00:00:00,14984.0
